situation,trigger_type,severity,anger_level,block_probability,block_days,advice,punishment
He sent 12 messages without waiting for a reply (1),message_spam,7,70,56,2,Handle message_spam appropriately,140 sorries
He kept typing Kiran every minute (2),message_spam,7,72,59,2,Handle message_spam appropriately,140 sorries
He sent messages after being told to stop (3),message_spam,7,74,62,2,Handle message_spam appropriately,140 sorries
He flooded the chat with question marks (4),message_spam,7,76,65,2,Handle message_spam appropriately,140 sorries
He sent five follow-up messages in a row (5),message_spam,7,78,68,2,Handle message_spam appropriately,140 sorries
He sent 12 messages without waiting for a reply (6),message_spam,7,80,71,2,Handle message_spam appropriately,140 sorries
He kept typing Kiran every minute (7),message_spam,7,82,74,2,Handle message_spam appropriately,140 sorries
He sent messages after being told to stop (8),message_spam,7,84,77,2,Handle message_spam appropriately,140 sorries
He flooded the chat with question marks (9),message_spam,7,86,56,2,Handle message_spam appropriately,140 sorries
He sent five follow-up messages in a row (10),message_spam,7,88,59,2,Handle message_spam appropriately,140 sorries
He sent 12 messages without waiting for a reply (11),message_spam,7,70,62,2,Handle message_spam appropriately,140 sorries
He kept typing Kiran every minute (12),message_spam,7,72,65,2,Handle message_spam appropriately,140 sorries
He sent messages after being told to stop (13),message_spam,7,74,68,2,Handle message_spam appropriately,140 sorries
He flooded the chat with question marks (14),message_spam,7,76,71,2,Handle message_spam appropriately,140 sorries
He sent five follow-up messages in a row (15),message_spam,7,78,74,2,Handle message_spam appropriately,140 sorries
He sent 12 messages without waiting for a reply (16),message_spam,7,80,77,2,Handle message_spam appropriately,140 sorries
He kept typing Kiran every minute (17),message_spam,7,82,56,2,Handle message_spam appropriately,140 sorries
He sent messages after being told to stop (18),message_spam,7,84,59,2,Handle message_spam appropriately,140 sorries
He flooded the chat with question marks (19),message_spam,7,86,62,2,Handle message_spam appropriately,140 sorries
He sent five follow-up messages in a row (20),message_spam,7,88,65,2,Handle message_spam appropriately,140 sorries
He sent 12 messages without waiting for a reply (21),message_spam,7,70,68,2,Handle message_spam appropriately,140 sorries
He kept typing Kiran every minute (22),message_spam,7,72,71,2,Handle message_spam appropriately,140 sorries
He sent messages after being told to stop (23),message_spam,7,74,74,2,Handle message_spam appropriately,140 sorries
He flooded the chat with question marks (24),message_spam,7,76,77,2,Handle message_spam appropriately,140 sorries
He sent five follow-up messages in a row (25),message_spam,7,78,56,2,Handle message_spam appropriately,140 sorries
He sent 12 messages without waiting for a reply (26),message_spam,7,80,59,2,Handle message_spam appropriately,140 sorries
He kept typing Kiran every minute (27),message_spam,7,82,62,2,Handle message_spam appropriately,140 sorries
He sent messages after being told to stop (28),message_spam,7,84,65,2,Handle message_spam appropriately,140 sorries
He kept asking after I clearly said no (1),boundary_violation,9,90,72,3,Handle boundary_violation appropriately,180 sorries
He brought up a topic I asked him to drop (2),boundary_violation,9,92,75,3,Handle boundary_violation appropriately,180 sorries
He ignored my request for space (3),boundary_violation,9,94,78,3,Handle boundary_violation appropriately,180 sorries
He continued arguing after I ended the discussion (4),boundary_violation,9,96,81,3,Handle boundary_violation appropriately,180 sorries
He pushed for an answer after refusal (5),boundary_violation,9,98,84,3,Handle boundary_violation appropriately,180 sorries
He kept asking after I clearly said no (6),boundary_violation,9,100,87,3,Handle boundary_violation appropriately,180 sorries
He brought up a topic I asked him to drop (7),boundary_violation,9,100,90,3,Handle boundary_violation appropriately,180 sorries
He ignored my request for space (8),boundary_violation,9,100,93,3,Handle boundary_violation appropriately,180 sorries
He continued arguing after I ended the discussion (9),boundary_violation,9,100,72,3,Handle boundary_violation appropriately,180 sorries
He pushed for an answer after refusal (10),boundary_violation,9,100,75,3,Handle boundary_violation appropriately,180 sorries
He kept asking after I clearly said no (11),boundary_violation,9,90,78,3,Handle boundary_violation appropriately,180 sorries
He brought up a topic I asked him to drop (12),boundary_violation,9,92,81,3,Handle boundary_violation appropriately,180 sorries
He ignored my request for space (13),boundary_violation,9,94,84,3,Handle boundary_violation appropriately,180 sorries
He continued arguing after I ended the discussion (14),boundary_violation,9,96,87,3,Handle boundary_violation appropriately,180 sorries
He pushed for an answer after refusal (15),boundary_violation,9,98,90,3,Handle boundary_violation appropriately,180 sorries
He kept asking after I clearly said no (16),boundary_violation,9,100,93,3,Handle boundary_violation appropriately,180 sorries
He brought up a topic I asked him to drop (17),boundary_violation,9,100,72,3,Handle boundary_violation appropriately,180 sorries
He ignored my request for space (18),boundary_violation,9,100,75,3,Handle boundary_violation appropriately,180 sorries
He continued arguing after I ended the discussion (19),boundary_violation,9,100,78,3,Handle boundary_violation appropriately,180 sorries
